idade,imc,filhos,genero,regiao,fumante,encargos
58,38.87,4,masculino,Norte,não,3326.45
32,30.62,3,masculino,Norte,sim,4131.66
33,33.99,0,masculino,Leste,sim,3613.56
38,30.3,0,masculino,Leste,não,1102.82
53,39.27,1,feminino,Oeste,não,2985.58
41,24.52,4,feminino,Leste,não,3136.36
33,28.63,3,feminino,Oeste,sim,4208.33
31,36.49,4,masculino,Norte,não,1401.67
39,27.86,1,feminino,Sul,não,2080.81
23,23.67,3,masculino,Leste,sim,3705.62
59,35.43,0,feminino,Oeste,não,1718.51
53,21.35,0,feminino,Sul,não,1380.53
18,29.63,3,feminino,Norte,não,2014.64
49,39.89,3,feminino,Leste,não,1745.85
23,25.42,3,feminino,Norte,sim,4204.8
48,24.03,0,feminino,Leste,sim,3407.51
18,35.86,3,masculino,Norte,não,2334.35
54,29.7,3,masculino,Oeste,não,2381.21
52,28.82,4,masculino,Sul,não,3201.49
47,23.72,1,feminino,Oeste,não,1534.61
21,21.1,4,masculino,Sul,sim,4375.96
52,26.3,1,feminino,Oeste,não,1927.75
60,32.75,1,feminino,Leste,não,3006.38
31,41.88,1,masculino,Oeste,não,1281.69
57,26.89,0,feminino,Sul,sim,3360.65
39,30.96,0,masculino,Oeste,não,1467.87
27,23.48,3,feminino,Sul,não,2158.21
18,34.21,4,feminino,Leste,não,2168.61
28,36.01,4,feminino,Norte,sim,4951.56
61,25.57,3,feminino,Leste,sim,4099.55
41,31.53,4,masculino,Sul,não,3700.51
20,25.16,3,feminino,Sul,sim,3785.55
52,31.47,2,masculino,Norte,não,2140.28
53,35.47,4,feminino,Sul,sim,4937.83
48,30.59,0,feminino,Oeste,sim,4002.49
21,33.73,2,masculino,Leste,não,1327.33
36,31.19,3,feminino,Leste,sim,3297.26
64,27.15,0,masculino,Oeste,não,2101.77
53,40.14,4,feminino,Sul,não,2532.85
38,22.67,1,feminino,Leste,não,972.86
35,29.16,3,masculino,Norte,não,2254.58
45,29.5,4,feminino,Leste,sim,4407.48
32,31.2,4,feminino,Norte,sim,5163.39
59,28.06,3,feminino,Sul,sim,3806.04
19,29.59,3,feminino,Leste,sim,3161.08
54,25.45,3,feminino,Oeste,não,2026.19
28,28.67,4,masculino,Leste,sim,3904.82
40,32.8,2,masculino,Oeste,não,1854.41
61,27.02,1,feminino,Norte,não,1104.58
58,36.22,4,feminino,Norte,sim,4974.95
29,29.49,3,feminino,Norte,não,2030.49
20,24.9,2,feminino,Leste,não,1583.75
34,22.27,1,masculino,Oeste,não,2081.69
50,27.48,2,feminino,Oeste,sim,3394.49
18,32.74,3,masculino,Sul,não,1776.67
56,32.23,1,masculino,Sul,não,2218.9
37,40.49,2,feminino,Norte,sim,3000.86
64,33.32,2,feminino,Oeste,sim,3650.41
60,33.6,2,masculino,Leste,não,3059.0
58,38.98,1,masculino,Norte,sim,3811.58
31,38.39,3,feminino,Oeste,sim,4427.41
48,33.46,1,feminino,Norte,sim,4333.55
42,37.33,2,feminino,Sul,sim,3033.42
20,29.43,2,masculino,Sul,não,1859.74
21,44.61,3,feminino,Norte,sim,3822.73
48,20.05,0,feminino,Leste,não,921.85
52,22.3,3,masculino,Norte,sim,4794.91
61,38.59,1,feminino,Oeste,sim,3395.05
31,34.04,2,masculino,Leste,não,1196.74
58,31.64,4,feminino,Leste,não,2516.49
26,22.66,2,feminino,Norte,não,1687.95
37,29.61,0,masculino,Norte,sim,3306.34
49,30.62,0,feminino,Norte,não,2045.48
26,28.36,3,masculino,Oeste,sim,3845.5
44,27.1,4,feminino,Leste,não,2550.24
20,20.65,1,feminino,Oeste,não,902.6
21,40.38,3,feminino,Oeste,sim,3960.61
62,39.81,2,feminino,Norte,sim,2982.84
32,26.21,4,feminino,Leste,não,2705.57
50,24.06,2,feminino,Leste,sim,3392.93
22,22.16,4,masculino,Leste,sim,3572.08
21,31.49,4,feminino,Leste,não,2238.78
63,28.36,4,masculino,Sul,sim,4726.44
29,29.0,1,feminino,Leste,não,1297.66
40,32.97,4,feminino,Norte,não,2967.12
31,34.83,3,masculino,Oeste,não,1862.48
63,27.98,0,feminino,Oeste,sim,3725.77
29,26.12,4,masculino,Norte,sim,3897.76
34,40.24,1,feminino,Oeste,sim,4152.15
42,32.69,2,masculino,Norte,sim,4820.18
47,29.72,4,masculino,Oeste,sim,4998.18
39,35.01,0,masculino,Leste,sim,2677.84
64,23.89,1,feminino,Norte,não,1961.74
43,27.69,1,masculino,Oeste,não,1483.06
34,36.14,2,feminino,Leste,sim,4371.58
37,40.74,4,masculino,Norte,não,2384.83
51,27.3,3,feminino,Leste,não,2807.21
58,37.81,4,feminino,Sul,sim,5010.53
50,32.94,1,feminino,Sul,não,859.11
54,30.67,4,masculino,Oeste,não,3847.62
24,35.74,3,feminino,Oeste,sim,4044.19
39,29.15,3,masculino,Sul,não,1759.26
49,26.81,1,masculino,Leste,não,1428.77
31,34.72,0,masculino,Oeste,sim,2006.22
25,33.19,1,masculino,Sul,não,1472.37
42,30.24,3,masculino,Sul,não,1447.73
33,29.53,3,feminino,Sul,não,1158.16
59,37.24,4,masculino,Norte,sim,4659.56
36,29.6,2,feminino,Oeste,sim,4721.24
58,25.83,3,feminino,Oeste,sim,4254.6
33,32.78,0,masculino,Oeste,não,395.46
29,30.73,1,feminino,Leste,não,1432.06
56,33.94,3,feminino,Oeste,não,2793.3
47,23.31,4,feminino,Oeste,não,2501.89
19,27.19,4,masculino,Leste,sim,4013.95
49,33.42,2,masculino,Norte,sim,3941.42
62,37.33,1,feminino,Leste,sim,4327.71
42,30.3,3,masculino,Norte,sim,4464.22
42,30.63,2,feminino,Leste,sim,2935.59
21,20.28,0,feminino,Leste,não,735.7
36,27.63,3,feminino,Oeste,não,2806.16
21,31.28,2,masculino,Norte,não,2050.19
60,28.94,0,masculino,Leste,sim,3260.55
30,28.9,4,feminino,Leste,sim,4422.36
56,27.47,1,masculino,Oeste,não,1895.87
53,32.36,1,masculino,Oeste,não,2500.66
40,29.52,0,feminino,Oeste,não,1457.88
23,38.51,3,masculino,Norte,não,1537.0
41,34.29,1,feminino,Leste,não,2402.27
61,25.38,1,masculino,Sul,não,1278.1
50,25.63,0,feminino,Norte,sim,2988.58
29,26.8,0,feminino,Sul,não,1117.85
58,28.79,4,feminino,Leste,não,2941.3
38,29.31,0,masculino,Sul,sim,3718.9
28,33.19,0,feminino,Sul,sim,2582.67
61,27.1,2,feminino,Leste,não,1288.07
55,24.45,3,masculino,Leste,não,3006.49
46,26.88,2,masculino,Oeste,sim,4698.53
58,26.11,0,masculino,Norte,sim,4648.2
20,26.04,4,feminino,Oeste,sim,3836.58
45,33.89,3,masculino,Leste,sim,4353.89
37,33.85,2,feminino,Sul,sim,3715.06
43,38.21,2,feminino,Leste,não,2721.51
41,32.09,3,feminino,Leste,sim,2917.62
64,27.19,0,feminino,Sul,não,1200.29
38,37.37,3,masculino,Norte,sim,4298.01
47,26.53,2,feminino,Norte,sim,4126.9
21,22.19,1,feminino,Sul,sim,2672.87
53,43.07,3,masculino,Norte,sim,5312.9
57,30.66,4,masculino,Sul,sim,4972.65
27,28.02,2,feminino,Oeste,sim,3187.9
27,29.45,2,feminino,Norte,não,2825.47
59,35.35,1,feminino,Leste,não,1200.67
41,23.41,1,feminino,Leste,não,1143.55
21,30.48,1,masculino,Sul,não,1915.23
64,31.39,1,feminino,Leste,não,3223.9
44,25.37,0,masculino,Oeste,sim,1744.09
62,25.05,3,feminino,Norte,não,2405.69
21,35.04,4,masculino,Norte,sim,4140.02
49,32.96,4,masculino,Norte,não,3707.86
27,30.0,2,feminino,Norte,não,1112.52
28,25.84,0,masculino,Leste,não,857.17
45,34.93,2,feminino,Norte,não,2314.93
63,32.59,4,feminino,Norte,não,3123.74
25,28.97,3,masculino,Norte,sim,4913.42
57,34.38,0,feminino,Leste,sim,3941.96
39,32.98,0,masculino,Norte,não,1363.96
51,20.18,4,masculino,Norte,não,2058.97
62,27.43,2,masculino,Leste,sim,3970.94
52,31.69,3,masculino,Norte,não,2621.39
52,25.12,0,masculino,Leste,sim,3574.43
42,32.43,2,masculino,Norte,não,2439.76
51,31.02,0,masculino,Sul,não,2362.55
23,31.85,2,masculino,Norte,sim,2728.26
58,27.07,1,feminino,Norte,não,2413.01
54,20.28,2,feminino,Norte,sim,4034.68
18,40.6,4,masculino,Oeste,não,1950.87
29,33.02,3,feminino,Norte,não,2110.85
52,37.12,0,masculino,Sul,não,1497.24
23,29.09,2,feminino,Sul,não,1158.88
34,25.51,4,feminino,Leste,sim,3334.05
26,30.64,3,feminino,Leste,sim,3633.55
19,30.4,2,feminino,Leste,sim,3691.58
35,33.56,2,masculino,Oeste,não,1464.81
53,32.35,0,feminino,Oeste,sim,3102.97
45,22.0,1,masculino,Oeste,sim,3589.28
58,22.07,0,masculino,Oeste,sim,3544.33
54,24.3,1,masculino,Sul,não,1799.96
43,14.28,3,feminino,Oeste,não,1618.37
21,20.73,0,feminino,Sul,sim,3493.03
57,28.71,4,feminino,Oeste,sim,4623.3
53,28.59,4,feminino,Oeste,sim,4185.4
48,30.02,4,masculino,Oeste,sim,5238.39
47,25.53,4,feminino,Oeste,sim,5223.51
51,26.31,1,masculino,Leste,sim,4408.57
36,34.53,2,masculino,Leste,sim,3758.38
35,31.23,3,feminino,Sul,sim,4694.84
47,39.73,4,feminino,Norte,não,2578.64
38,34.49,3,masculino,Leste,sim,3892.58
20,25.18,0,masculino,Leste,não,716.21
23,24.45,1,feminino,Oeste,não,401.39
55,44.09,1,masculino,Leste,não,2843.54
30,29.8,1,feminino,Norte,sim,3114.77
62,21.69,2,masculino,Oeste,não,1685.14
20,31.6,2,masculino,Sul,não,1927.95
45,28.15,1,feminino,Norte,não,1261.63
39,25.04,2,masculino,Norte,sim,3601.13
57,32.29,3,masculino,Norte,não,1702.15
57,36.77,3,masculino,Sul,não,1994.88
29,27.23,3,masculino,Sul,não,2866.35
40,26.7,3,feminino,Norte,não,2331.61
48,28.94,0,masculino,Norte,sim,2930.82
35,34.12,0,feminino,Oeste,não,1634.31
24,29.44,1,feminino,Oeste,não,1753.66
25,38.84,4,feminino,Oeste,não,2660.25
36,29.11,2,masculino,Sul,não,1588.31
46,21.92,2,masculino,Leste,sim,3697.02
61,28.22,1,feminino,Sul,não,1686.4
37,25.35,2,feminino,Norte,não,1899.94
59,31.04,3,feminino,Sul,sim,3986.02
47,25.69,2,feminino,Norte,sim,4475.25
64,31.65,1,feminino,Oeste,sim,4115.95
39,26.76,2,feminino,Sul,sim,4266.94
27,26.4,1,feminino,Leste,não,954.37
43,22.25,2,masculino,Leste,sim,3500.67
50,29.77,3,masculino,Sul,sim,4516.48
45,31.9,4,feminino,Norte,não,2290.45
27,27.24,0,masculino,Leste,sim,2544.62
46,34.1,0,masculino,Norte,não,1563.7
61,36.48,3,masculino,Oeste,sim,4205.13
35,29.37,2,masculino,Leste,sim,2996.43
59,26.26,1,masculino,Sul,sim,4229.65
18,33.85,2,masculino,Sul,não,2097.51
40,31.59,3,masculino,Leste,não,2395.45
34,21.88,1,feminino,Sul,não,2441.62
60,33.75,4,masculino,Oeste,sim,4764.21
54,34.29,1,feminino,Sul,não,1479.9
48,36.71,0,feminino,Oeste,não,1158.78
42,36.04,2,masculino,Sul,sim,3240.37
21,36.53,4,masculino,Leste,não,2345.53
26,26.23,4,masculino,Norte,não,1880.52
45,36.64,1,feminino,Oeste,não,1769.74
47,32.38,0,feminino,Oeste,sim,4523.65
64,31.73,0,feminino,Norte,não,1410.48
41,28.1,0,masculino,Sul,não,1825.99
50,31.78,4,masculino,Norte,não,2382.22
37,38.68,1,masculino,Norte,não,1955.44
26,27.81,4,masculino,Oeste,sim,3886.45
25,28.69,0,feminino,Norte,não,436.16
41,24.17,0,masculino,Leste,sim,3099.17
31,29.75,1,masculino,Norte,sim,3265.77
35,30.42,0,masculino,Norte,sim,3216.57
18,30.26,4,masculino,Norte,sim,4624.04
29,27.35,1,feminino,Sul,não,1358.45
46,35.01,4,masculino,Oeste,não,1983.61
54,24.77,3,masculino,Oeste,sim,4396.68
43,32.74,3,masculino,Sul,não,1910.64
50,32.9,4,masculino,Sul,não,2732.46
60,38.34,2,masculino,Oeste,não,1936.17
32,37.82,0,masculino,Sul,não,1018.83
40,29.12,3,feminino,Leste,não,2726.41
46,20.59,4,feminino,Sul,sim,3499.29
38,32.54,1,feminino,Sul,sim,4094.3
36,26.02,4,masculino,Oeste,não,1772.84
22,30.74,3,feminino,Leste,sim,3351.58
40,30.3,0,feminino,Oeste,não,1886.96
53,14.12,4,feminino,Oeste,sim,4997.64
37,29.22,3,feminino,Oeste,sim,5034.2
25,34.02,4,feminino,Oeste,não,3030.08
26,28.74,4,feminino,Leste,sim,5223.45
31,28.16,3,feminino,Oeste,não,2296.1
23,30.64,2,feminino,Leste,não,1920.38
18,32.99,1,masculino,Norte,sim,3339.13
26,33.96,1,feminino,Oeste,sim,3317.5
33,28.54,1,masculino,Leste,não,1286.13
33,33.44,3,feminino,Norte,não,2029.76
29,28.2,2,feminino,Leste,sim,3717.0
22,29.09,0,masculino,Oeste,não,1245.75
57,32.57,0,masculino,Sul,sim,3729.62
46,27.14,0,feminino,Oeste,sim,2726.42
63,26.1,2,feminino,Leste,não,2855.7
44,25.32,0,masculino,Leste,não,1528.25
28,40.34,3,masculino,Oeste,sim,4509.72
64,33.9,4,feminino,Leste,não,3591.04
45,36.73,0,masculino,Norte,sim,2953.48
53,24.74,4,masculino,Oeste,sim,4024.62
59,24.05,2,masculino,Sul,não,2699.9
36,30.77,1,masculino,Leste,sim,3528.61
52,37.11,4,feminino,Norte,sim,4518.99
48,31.17,4,feminino,Sul,sim,4974.68
61,24.96,0,masculino,Leste,sim,3284.39
36,31.88,4,feminino,Leste,sim,4747.26
63,25.89,0,masculino,Norte,não,1569.92
41,32.92,1,masculino,Norte,não,1969.22
19,30.19,4,masculino,Leste,não,1653.26
24,25.18,1,masculino,Sul,não,1553.91
60,25.11,1,masculino,Norte,sim,3329.6
48,33.28,0,feminino,Sul,sim,3409.83
34,29.78,1,masculino,Norte,sim,3279.63
44,26.8,4,feminino,Leste,sim,4941.77
53,34.21,4,masculino,Leste,não,2361.14
60,26.54,0,masculino,Leste,não,1295.13
27,26.92,1,feminino,Norte,não,1458.06
62,36.61,1,masculino,Sul,não,2624.75
31,28.49,1,masculino,Sul,sim,4064.44
24,31.78,1,feminino,Norte,sim,4018.49
56,24.73,3,masculino,Norte,sim,4770.4
57,40.81,0,feminino,Sul,sim,3626.93
26,27.95,2,feminino,Norte,sim,3905.81
31,37.2,2,feminino,Norte,não,2956.1
25,27.33,3,feminino,Norte,não,1348.2
34,35.83,1,feminino,Leste,sim,2212.5
40,25.3,4,masculino,Norte,sim,4305.62
33,30.45,1,feminino,Leste,sim,3536.7
43,32.6,1,masculino,Oeste,não,1723.08
26,32.06,2,masculino,Leste,não,752.46
53,41.2,3,feminino,Leste,não,2653.72
24,23.6,0,masculino,Oeste,sim,3261.78
35,29.73,1,feminino,Norte,não,1735.16
25,34.52,0,masculino,Norte,sim,3441.86
38,37.98,0,masculino,Oeste,não,1333.87
43,20.78,3,masculino,Sul,sim,3079.77
20,32.52,4,masculino,Norte,não,1908.29
34,23.7,1,masculino,Norte,sim,2830.47
63,20.05,2,feminino,Leste,sim,4055.81
41,36.34,2,feminino,Norte,sim,4192.49
42,34.42,2,feminino,Norte,não,2454.1
22,34.75,0,feminino,Oeste,sim,3530.84
54,22.26,4,masculino,Norte,sim,4621.64
62,28.69,4,masculino,Sul,não,2175.06
41,18.48,3,feminino,Leste,não,1367.56
48,30.74,0,feminino,Sul,não,1419.69
43,26.05,4,feminino,Oeste,não,2346.09
38,25.07,2,masculino,Leste,sim,3892.57
51,27.53,2,masculino,Norte,sim,4279.6
55,20.69,2,feminino,Oeste,sim,4695.73
41,28.84,4,feminino,Sul,sim,4268.86
45,24.09,2,masculino,Sul,não,1053.43
47,26.56,4,feminino,Oeste,não,2051.8
51,22.81,4,masculino,Leste,não,2377.42
40,31.66,1,masculino,Norte,sim,3859.83
25,28.67,2,masculino,Norte,sim,3802.98
59,39.54,4,feminino,Oeste,não,3453.59
27,21.96,4,feminino,Leste,não,1505.03
18,22.56,2,feminino,Oeste,não,659.79
37,22.72,2,masculino,Norte,sim,3444.77
54,28.53,2,feminino,Norte,não,2230.81
35,29.59,3,masculino,Norte,sim,3732.42
38,32.5,2,masculino,Sul,não,1870.3
21,21.15,1,masculino,Norte,não,812.2
60,34.74,0,masculino,Oeste,não,1422.27
19,34.6,4,masculino,Oeste,não,2970.63
38,29.78,2,feminino,Sul,sim,3371.11
54,32.29,3,feminino,Norte,não,2025.57
22,27.4,4,masculino,Sul,não,1084.72
34,21.68,4,masculino,Leste,sim,5389.19
28,28.7,1,masculino,Oeste,não,1086.57
63,24.54,3,feminino,Sul,sim,4262.09
58,33.99,4,feminino,Leste,não,2878.05
48,27.76,1,masculino,Oeste,não,1710.28
45,25.43,3,masculino,Oeste,sim,4906.19
61,35.15,3,masculino,Oeste,sim,4416.77
49,25.37,2,masculino,Norte,não,1913.17
38,28.14,3,feminino,Oeste,não,2541.31
24,31.25,1,feminino,Norte,sim,3640.61
27,26.18,3,masculino,Norte,não,2055.29
45,34.21,3,feminino,Sul,não,3111.63
53,33.7,3,feminino,Leste,não,2412.05
37,25.08,2,masculino,Sul,sim,3431.13
30,31.38,4,feminino,Norte,não,2607.07
36,34.82,3,masculino,Leste,não,1406.12
28,30.89,0,feminino,Norte,sim,2220.86
52,32.36,4,feminino,Leste,sim,5368.56
51,30.34,0,feminino,Norte,não,1035.47
61,35.84,3,feminino,Oeste,sim,5189.53
21,22.44,2,masculino,Sul,sim,3755.74
30,25.92,1,feminino,Norte,sim,2696.02
54,29.36,4,masculino,Norte,não,2479.06
19,29.36,3,feminino,Leste,não,1596.22
18,20.43,0,masculino,Leste,sim,2403.41
57,20.5,3,feminino,Oeste,sim,4049.52
42,23.83,1,masculino,Norte,não,1485.67
54,30.58,3,masculino,Norte,sim,3909.08
53,19.6,0,feminino,Norte,não,1440.84
23,26.79,0,feminino,Oeste,não,1130.34
24,33.44,3,feminino,Norte,sim,3937.44
21,40.19,3,feminino,Oeste,sim,4639.57
52,27.06,4,feminino,Oeste,não,2099.09
58,16.41,2,masculino,Norte,sim,3876.94
51,26.05,1,feminino,Norte,sim,3488.03
46,31.27,2,feminino,Oeste,não,1777.35
22,30.86,3,masculino,Sul,sim,3582.45
44,34.99,2,masculino,Leste,não,2211.74
50,32.75,1,masculino,Leste,não,2165.37
63,31.14,2,feminino,Norte,sim,3773.97
27,26.96,1,masculino,Leste,sim,3399.87
23,31.01,0,masculino,Norte,não,955.43
51,30.67,0,masculino,Leste,sim,4320.39
25,25.94,3,feminino,Oeste,sim,3418.27
48,31.23,2,feminino,Sul,não,1742.04
26,29.7,0,masculino,Leste,sim,2752.27
38,34.99,2,feminino,Leste,sim,4352.53
25,30.65,0,masculino,Norte,sim,3869.43
21,33.76,3,masculino,Oeste,não,2367.52
39,29.59,0,feminino,Leste,não,1006.57
45,29.8,0,feminino,Sul,sim,3483.48
62,33.01,1,feminino,Leste,sim,3940.07
21,33.88,3,feminino,Leste,não,2190.51
56,23.7,4,feminino,Oeste,sim,4877.2
38,22.27,2,feminino,Leste,não,2046.25
25,24.35,4,feminino,Sul,não,1748.1
37,24.5,4,feminino,Sul,sim,4400.95
49,21.12,1,feminino,Sul,não,1716.79
18,23.78,4,feminino,Sul,sim,4426.48
23,29.08,0,masculino,Norte,sim,3370.59
45,34.58,1,masculino,Oeste,sim,3501.57
61,32.37,1,masculino,Norte,sim,5003.62
48,27.28,1,feminino,Norte,não,1986.54
27,37.93,3,feminino,Norte,não,2230.98
37,32.6,4,masculino,Leste,não,2834.75
25,25.91,1,feminino,Norte,não,242.38
39,30.01,0,masculino,Oeste,não,1898.27
55,26.66,0,feminino,Leste,não,2297.68
46,29.27,1,masculino,Leste,não,2110.28
26,32.21,3,masculino,Norte,sim,5235.24
61,31.01,2,masculino,Oeste,sim,4153.26
64,30.54,1,masculino,Oeste,não,1619.97
18,31.3,2,masculino,Oeste,sim,3552.43
58,25.43,3,feminino,Oeste,não,2219.12
56,28.55,1,masculino,Oeste,sim,3348.56
43,44.29,1,masculino,Sul,sim,4877.01
28,17.46,0,masculino,Norte,não,394.7
52,31.37,1,masculino,Sul,não,1291.88
41,28.34,1,masculino,Leste,sim,3590.9
50,27.91,1,masculino,Leste,sim,4067.92
37,35.92,0,feminino,Leste,não,1423.61
44,24.28,2,feminino,Norte,sim,2933.01
32,27.58,0,masculino,Oeste,não,1527.58
50,28.01,0,masculino,Norte,não,1209.95
24,31.34,1,masculino,Sul,sim,3112.42
51,26.75,1,feminino,Sul,sim,3376.63
62,31.64,4,masculino,Sul,não,2700.13
63,19.74,4,feminino,Norte,não,2585.82
59,21.4,3,feminino,Leste,não,2180.34
22,32.86,4,masculino,Sul,sim,4255.65
47,35.3,1,masculino,Sul,não,1971.03
45,30.87,3,masculino,Leste,não,2491.03
35,32.16,2,feminino,Sul,sim,3376.81
53,30.85,4,feminino,Leste,sim,4003.14
20,30.36,4,feminino,Norte,sim,4259.35
38,38.47,1,feminino,Leste,sim,3142.15
63,24.51,1,feminino,Oeste,sim,3699.55
33,23.14,0,masculino,Oeste,sim,3662.09
54,30.07,0,feminino,Leste,não,1396.56
59,36.66,4,masculino,Leste,não,3519.48
22,30.69,4,feminino,Leste,não,1837.29
31,30.03,3,masculino,Leste,não,1884.93
48,35.67,4,feminino,Sul,sim,4454.83
63,39.13,1,masculino,Oeste,sim,4595.39
41,28.47,1,feminino,Leste,não,1820.48
52,31.44,3,feminino,Norte,não,2816.12
53,27.89,2,masculino,Oeste,não,1689.6
27,33.25,2,feminino,Leste,sim,3755.45
44,35.03,1,masculino,Leste,não,2019.61
44,24.08,0,masculino,Oeste,sim,4029.29
40,29.44,2,masculino,Leste,sim,4067.96
30,29.34,0,feminino,Leste,não,1115.28
33,30.42,1,feminino,Sul,sim,3106.72
52,31.57,1,masculino,Oeste,não,2371.38
44,32.14,0,masculino,Norte,sim,3933.64
56,28.68,1,feminino,Oeste,não,941.77
64,25.12,4,masculino,Leste,não,2705.33
34,27.87,1,masculino,Sul,sim,2843.56
58,37.75,4,feminino,Norte,sim,5855.61
18,32.26,3,feminino,Sul,não,2315.16
28,24.49,0,masculino,Norte,sim,3195.74
29,30.42,2,masculino,Sul,não,2208.94
31,26.56,3,masculino,Sul,sim,3780.22
25,33.17,0,feminino,Oeste,não,1210.35
48,32.13,2,feminino,Norte,sim,3525.5
24,34.88,4,feminino,Oeste,não,2388.15
63,35.92,2,feminino,Leste,não,2644.66
48,38.49,4,feminino,Norte,sim,5811.16
33,24.99,1,masculino,Sul,sim,2135.0
59,31.53,1,feminino,Norte,não,2657.44
56,31.95,4,feminino,Oeste,sim,4808.01
61,29.45,3,feminino,Norte,sim,4543.83
36,30.44,2,masculino,Norte,sim,3689.41
25,28.3,4,feminino,Oeste,sim,4422.28
46,33.16,3,masculino,Sul,não,1165.46
19,28.55,2,feminino,Sul,não,1499.56
59,28.28,3,feminino,Oeste,sim,3771.44
20,34.66,4,feminino,Leste,sim,3811.6
46,32.92,2,feminino,Oeste,não,2391.23
32,22.58,2,feminino,Sul,sim,2824.85
55,35.4,3,masculino,Leste,não,2131.37
45,24.97,1,masculino,Sul,não,1541.81
54,28.46,2,masculino,Leste,sim,3465.95
49,26.96,3,masculino,Norte,sim,3526.84
47,37.13,1,feminino,Sul,não,1902.64
64,31.3,0,masculino,Leste,sim,3096.73
47,29.85,3,masculino,Sul,sim,3895.08
51,31.02,2,feminino,Oeste,não,2233.36
